player_name,team,position,price_m
Fernando Muslera,Galatasaray,GK,9.2
Mert Günok,Beşiktaş JK,GK,7.3
Onurcan Piri,Kayserispor,GK,7.4
Okan Kocuk,Samsunspor,GK,7.2
Uğurcan Çakır,Trabzonspor,GK,7.3
Emre Bilgin,Fatih Karagümrük,GK,7.4
Ali Şaşal Vural,Sivasspor,GK,7.5
Rüzgar Adıyaman,Bodrum FK,GK,7.6
Abdullah Yiğiter,Antalyaspor,GK,7.8
Ertuğrul Taşkıran,Alanyaspor,GK,7.9
Ersin Destanoğlu,Beşiktaş JK,GK,7.9
Emir Dadük,Hatayspor,GK,8.0
Volkan Babacan,Başakşehir FK,GK,8.2
Diogo Sousa,Bodrum FK,GK,8.3
Halil Bağcı,Gaziantep FK,GK,8.5
Gökhan Akkan,Bodrum FK,GK,8.6
Ertaç Özbir,MKE Ankaragücü,GK,6.3
Taha Tepe,Trabzonspor,GK,6.3
İrfan Can Eğribayat,Fenerbahçe,GK,6.2
Dominik Livaković,Fenerbahçe,GK,6.2
Bahadır Han Güngördü,MKE Ankaragücü,GK,6.1
Sokratis Dioudis,Gaziantep FK,GK,6.0
Jakub Szumski,Samsunspor,GK,6.0
Matías Dituro,Fatih Karagümrük,GK,6.0
Burak Bozan,Gaziantep FK,GK,6.0
Helton Leite,Antalyaspor,GK,6.0
Florin Niță,Gaziantep FK,GK,6.0
Yusuf Karagöz,Alanyaspor,GK,5.9
Altay Bayındır,Fenerbahçe,GK,5.8
Bilal Bayazit,Kayserispor,GK,5.7
Ivo Grbić,Çaykur Rizespor,GK,5.7
Kenan Pirić,Antalyaspor,GK,5.6
Alp Arda,İstanbulspor,GK,5.6
Ali Emre Yanar,Kasımpaşa,GK,5.6
Andreas Gianniotis,Kasımpaşa,GK,5.5
Deniz Dilmen,Başakşehir FK,GK,5.5
Muhammed Şengezer,Başakşehir FK,GK,5.5
Salvatore Sirigu,Fatih Karagümrük,GK,5.5
Mateusz Lis,Göztepe,GK,5.4
Birkan Tetik,Eyüpspor,GK,5.4
Abdülkerim Bardakcı,Galatasaray,DF,7.6
Sagiv Jehezkel,Antalyaspor,DF,7.6
Thomas Meunier,Trabzonspor,DF,7.3
Omar Colley,Beşiktaş JK,DF,7.3
Pedro Malheiro,Trabzonspor,DF,7.4
Ismail Jakobs,Galatasaray,DF,7.5
Roland Sallai,Galatasaray,DF,7.6
Sinan Osmanoğlu,Çaykur Rizespor,DF,7.7
Davinson Sánchez,Galatasaray,DF,7.8
Arthur Masuaku,Beşiktaş JK,DF,7.6
Filip Benković,Trabzonspor,DF,7.4
Uroš Radaković,Sivasspor,DF,7.5
Ferdi Kadıoğlu,Fenerbahçe,DF,7.7
Joe Worrall,Beşiktaş JK,DF,7.8
Casper Højer,Çaykur Rizespor,DF,7.9
Zeki Yavru,Samsunspor,DF,8.0
Ľubomír Šatka,Samsunspor,DF,5.7
Stefano Denswil,Trabzonspor,DF,5.7
Gabriel Paulista,Beşiktaş JK,DF,5.7
Sacha Boey,Galatasaray,DF,5.6
Riechedly Bazoer,Konyaspor,DF,5.5
Marc Bola,Samsunspor,DF,5.4
Ramazan Civelek,Kayserispor,DF,5.4
Kaan Ayhan,Galatasaray,DF,5.4
Taha Şahin,Çaykur Rizespor,DF,5.4
Yigit Ali Buz,Hatayspor,DF,5.4
